class,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17
4,7.07918,7.04839,7.61036,7.47647,7.28824,7.0579,7.45819,7.21303,6.98286,8.16565,7.5984,7.48605,7.1507,7.53155,7.89692,7.55538,7.6834
4,7.07918,7.04839,7.61036,7.47647,7.28824,7.0579,7.45819,7.21303,6.98286,8.16565,7.5984,7.48605,7.1507,7.53155,7.89692,7.55538,7.6834
4,4.47734,5.24175,6.23832,5.03044,4.98361,4.91998,4.46591,5.14166,4.77068,5.43372,4.79579,4.89035,4.51086,4.79579,4.40672,4.46591,5.11799
4,4.47734,5.24175,6.23832,5.03044,4.98361,4.91998,4.46591,5.14166,4.77068,5.43372,4.79579,4.89035,4.51086,4.79579,4.40672,4.46591,5.11799
4,7.39449,7.22184,7.49053,7.48381,7.75534,7.14204,7.46164,7.37713,7.16704,8.56846,7.86442,7.74544,7.12125,7.86902,7.96797,7.7424,7.89096
4,7.26193,7.24566,7.643,7.46566,7.67925,7.12125,7.42417,7.34987,7.11396,8.21311,7.70165,7.59337,7.1325,7.62021,7.65728,7.662,7.66435
4,7.48043,7.5353,7.75833,7.72445,7.92877,7.35116,7.64731,7.6029,7.35244,8.67795,7.9831,7.84659,7.37588,7.91826,8.00936,7.99733,8.03916
1,4.5326,5.45959,5.78383,5.33754,4.68213,5.12396,5.0626,4.82028,4.97673,5.07517,5.14749,5.11199,5.16479,4.70953,4.72739,4.7185,4.7185
4,7.53155,7.43485,7.82285,7.67229,8.06778,7.33954,7.81035,7.53583,7.4378,8.64805,8.05198,7.96936,7.44775,8.06715,8.24118,8.10349,8.12296
4,7.49776,7.72974,7.73193,7.66341,7.95121,7.24708,7.59639,7.61085,7.33629,8.6573,8.06527,7.814,7.28688,7.96276,8.13944,7.95085,8.16337
1,5.37528,5.87493,6.70564,6.21461,5.58725,5.48894,5.37528,5.14749,5.39816,6.44095,6.60665,6.28227,5.98394,6.03548,5.59842,5.47646,5.59471
4,7.66856,8.01895,8.25401,7.88946,8.15306,7.72223,8.09834,7.8411,7.63143,9.05252,8.36311,8.05833,7.73456,8.32627,8.489,8.5614,8.51379
4,6.04501,6.36475,5.70044,5.71373,5.91889,6.10479,6.02587,6.16331,6.0845,6.19441,6.35089,6.1506,5.98141,6.25383,6.10702,6.19032,6.35611
4,7.50384,7.6029,7.92045,7.74673,8.0037,7.36455,7.82724,7.56008,7.41337,8.43229,7.96102,7.86864,7.39388,8.02388,8.11043,8.07527,7.96032
2,4.64439,4.00733,3.71357,4.12713,4.12713,3.98898,3.46574,4.04305,4.06044,4.27667,3.95124,4.12713,3.93183,3.85015,3.91202,4.12713,4.02535
2,5.61677,5.88053,5.36129,5.44242,5.32788,5.69709,5.54126,5.56452,5.54908,5.22575,5.32788,5.35659,5.40268,5.5835,5.63121,5.56068,5.66643
4,8.48879,8.52952,8.82527,8.53287,8.8639,8.15104,8.57584,8.48384,8.16905,9.48684,8.85209,8.71424,8.27334,8.94063,8.9813,9.07119,8.99082
4,7.56941,7.70886,8.03366,7.81076,8.19589,7.67415,7.89581,7.86057,7.43897,8.56789,8.07465,7.89245,7.35116,7.83637,7.97522,8.03073,8.17527
4,7.56941,7.70886,8.03366,7.81076,8.19589,7.67415,7.89581,7.86057,7.43897,8.56789,8.07465,7.89245,7.35116,7.83637,7.97522,8.03073,8.17527
4,7.23129,7.44366,7.49443,7.59388,7.69029,7.26962,7.47022,7.41938,7.26962,8.50916,7.89432,7.72268,7.2998,7.93451,8.0427,7.86134,8.03657
2,4.18965,4.57471,5.04343,5.53339,5.09375,5.10595,4.99043,5.2832,5.2832,4.48864,5.11799,5.1299,5.18178,5.0689,4.75359,4.58497,4.5326
4,5.76519,5.87212,4.95583,5.18739,5.47227,5.6204,5.42053,5.68698,5.74939,5.97635,6.03309,5.92158,5.56452,5.90536,5.7301,5.86079,5.99894
1,5.78996,6.33505,5.73979,5.90808,6.04501,5.91889,5.66296,5.9162,5.82305,5.66296,5.52146,5.59099,5.39816,6.08904,6.00389,5.99894,5.93754
2,4.80402,5.50939,5.14166,5.56834,5.31812,5.55683,5.37528,5.57595,5.42935,5.36598,5.39363,5.38907,5.44242,5.84354,5.47227,5.64545,5.56068
2,6.27664,6.0845,5.76519,6.46459,6.78672,6.36819,5.94017,6.00881,5.93225,5.54908,5.91889,6.16331,6.12687,6.1717,6.18415,6.39192,6.20254
4,5.83773,5.96871,5.14749,5.51343,5.49717,5.83188,5.52943,5.62402,5.8693,5.64897,5.93489,5.85507,5.59842,5.90263,5.81711,5.99894,5.87212
4,5.55296,5.8522,5.61313,5.40268,5.17615,5.89164,5.78383,5.64897,5.87774,6.29895,6.13556,6.01859,5.80212,6.05444,5.85507,6.20658,6.38519
4,6.21661,6.41673,5.64897,5.84354,5.95064,6.07764,5.6058,6.03309,6.09357,6.14633,6.32077,6.23441,5.97126,6.24804,6.00881,6.27852,6.21461
2,6.94601,7.45991,7.73061,7.35947,7.37149,7.22911,7.50769,6.93342,7.0282,8.02552,7.57507,7.52564,7.15774,7.89021,7.6212,7.88908,7.64826
1,5.1358,5.51343,5.33754,5.24175,4.72739,5.37064,5.3799,5.07517,5.21494,4.76217,4.86753,4.91998,5.14749,5.18739,4.89035,5.24702,5.18178
4,7.84659,7.75061,8.13417,7.77863,8.28551,7.5994,7.81278,7.81319,7.62803,9.01651,8.44096,8.2741,7.55066,8.52595,8.56503,8.34141,8.52675
4,5.42495,5.78383,5.51343,5.37528,5.66988,5.69036,5.65599,5.36129,5.49717,5.66988,5.39363,5.42053,5.37064,5.68358,5.41165,5.81114,5.55296
4,7.21303,7.71557,7.93093,7.64874,7.72356,7.50879,7.88646,7.26052,7.35819,8.64576,7.91754,7.79482,7.41818,8.33014,8.2033,8.41072,8.18228
4,7.3908,7.35947,7.49053,7.59689,7.74284,7.16472,7.28207,7.21891,7.15227,8.41427,7.81763,7.65917,7.17931,7.87816,7.9645,7.82644,7.9652
4,7.51806,7.5989,7.91462,7.67694,8.04879,7.41818,7.63095,7.53316,7.3025,8.88544,8.0959,7.92407,7.25488,8.13505,8.16707,8.10289,8.26642
4,7.23778,7.53155,7.70796,7.60837,7.80588,7.47534,7.66716,7.2998,7.3473,8.43425,7.89432,7.82564,7.18083,8.0206,8.06652,7.98105,8.11552
4,7.76684,7.90692,7.84659,7.94094,7.91863,7.60539,7.48605,7.44073,7.47079,8.63799,8.18172,8.04655,7.45066,8.27334,8.28828,8.03431,8.23456
1,5.19296,5.54908,5.21494,5.1299,5.03044,4.98361,5.37528,5.82008,5.6204,5.71373,5.33754,5.09987,5.09987,4.96284,4.89784,5.40268,5.44674
2,4.63473,4.09434,3.73767,3.49651,3.61092,3.43399,3.58352,3.91202,3.80666,3.68888,3.78419,3.55535,4.27667,3.80666,3.4012,3.55535,4.33073
3,4.58497,4.62497,5.15329,5.36598,5.6058,5.14166,4.94876,4.92725,4.54329,4.66344,4.55388,4.86753,4.92725,4.96981,4.85203,4.69135,4.33073
4,6.29895,6.48158,6.52649,6.30992,6.28227,5.90263,6.38688,6.50129,6.30445,6.79906,6.52356,6.28413,6.34914,6.25767,6.43133,6.37673,6.43455
1,4.35671,6.2186,6.71296,6.12249,5.63121,5.2832,4.81218,4.49981,4.45435,5.81114,6.24028,6.26149,6.07764,5.7462,5.17615,5.09375,5.12396
4,5.94017,6.50728,6.58341,6.35784,6.18621,5.64897,6.02828,6.04973,6.03787,6.40026,6.32615,6.36303,6.16542,6.03309,6.50129,6.80683,6.39024
4,5.94017,6.50728,6.58341,6.35784,6.18621,5.64897,6.02828,6.04973,6.03787,6.40026,6.32615,6.36303,6.16542,6.03309,6.50129,6.80683,6.39024
4,7.83162,7.63337,7.96416,8.16309,8.02584,7.58274,7.93093,7.92732,7.39756,8.537,7.88458,7.5606,7.63627,7.48885,7.52078,7.74327,8.04238
4,6.18621,6.50877,6.69456,7.06476,6.59304,6.22059,6.39859,6.4599,6.17587,7.54539,6.73815,6.83195,6.69332,6.81235,6.88346,7.00851,6.81344
4,7.58477,7.6516,7.90802,7.979,8.09438,7.72312,7.9388,7.71957,7.45066,8.56827,7.8071,7.8598,7.72356,7.92371,7.54539,8.01961,8.0427
1,4.38203,4.74493,4.17439,4.20469,4.51086,4.56435,4.49981,4.58497,4.62497,4.49981,4.48864,4.45435,4.36945,4.48864,4.31749,4.65396,4.72739
2,5.0626,4.89035,4.99721,5.72031,6.43775,6.14419,5.51343,5.1358,5.01064,5.22036,5.0626,5.11199,5.57215,5.48064,5.42495,5.52943,5.56834
3,4.91265,4.78749,5.53339,5.45104,5.50533,5.24175,4.96981,4.72739,4.55388,4.94876,5.11199,5.17048,5.26269,5.30827,5.19296,4.84419,4.74493
4,5.0814,4.99721,5.37528,5.95842,6.10032,5.97635,5.93225,5.7301,5.63121,5.64191,5.64191,5.65948,6.14419,5.99645,5.72031,6.00881,5.98394
1,4.30407,4.8752,4.52179,4.15888,3.97029,4.35671,4.90527,5.1358,5.0814,5.0814,4.84419,4.72739,4.14313,4.52179,4.59512,4.77068,4.86753
2,5.84354,5.1985,4.72739,4.75359,4.83628,4.86753,5.00395,4.83628,5.19296,5.27811,5.15329,5.19296,4.86753,4.79579,5.18178,5.12396,4.96981
1,5.15906,5.80814,6.61607,5.743,4.70048,4.78749,4.96981,4.47734,4.64439,5.97126,6.09357,5.69373,5.26269,5.2832,4.95583,4.7185,4.96981
4,6.73934,6.71417,7.06561,6.94409,6.96508,6.64769,6.88244,6.71659,6.51323,7.83716,7.00033,6.93537,6.60259,6.67077,6.92854,7.02376,6.83195
1,6.08677,6.00635,6.16961,6.3699,6.00635,5.97381,6.12687,5.84064,6.42811,6.53088,6.62936,6.49527,6.06146,6.16121,6.59851,6.39693,6.10256
4,7.38275,7.44833,7.67462,7.45991,7.84776,7.41457,7.46164,7.30519,7.26263,8.0507,7.46451,7.54697,7.257,7.28961,7.23562,7.77821,7.72533
4,6.84268,7.09423,7.28139,7.28482,7.01751,6.75809,7.1293,6.88959,6.72982,7.54433,7.00941,6.89568,6.80793,7.05186,7.07327,7.18614,7.24208
4,6.84162,6.9613,7.29574,6.81674,7.21082,6.90073,6.81564,6.68336,6.82002,7.77359,7.35244,7.44892,6.96602,6.86693,7.35372,7.26543,7.49721
4,5.72031,5.35186,5.04343,5.11199,4.99043,5.14749,5.18739,5.03695,5.70378,5.51343,5.77765,5.68358,5.21494,5.59842,5.84354,5.80513,5.72359
3,4.04305,4.41884,4.89035,4.90527,4.66344,4.79579,4.44265,3.95124,3.91202,3.97029,4.21951,4.29046,4.61512,4.48864,4.02535,3.89182,3.49651
4,6.63726,7.05876,7.25205,7.09174,7.1317,6.9575,7.28619,7.21524,6.83411,7.45124,7.23921,7.05012,6.82871,6.91175,7.1869,6.89871,7.17012
3,4.27667,4.47734,4.63473,4.86753,4.82028,5.20401,5.03695,4.77068,4.96284,4.30407,4.70953,4.96284,4.55388,4.96284,5.24702,4.57471,4.21951
1,3.43399,2.77259,2.94444,3.4012,2.89037,3.66356,3.61092,3.43399,3.63759,3.3322,3.52636,3.80666,3.89182,4.02535,3.95124,3.52636,3.7612
2,3.82864,3.3673,4.21951,5.1299,5.43372,5.23644,4.20469,3.80666,3.89182,3.82864,4.34381,4.61512,4.49981,4.43082,4.41884,4.35671,4.43082
2,3.66356,3.58352,3.09104,3.80666,3.2581,3.55535,3.52636,3.61092,3.85015,3.52636,3.61092,3.68888,4.38203,3.55535,4.15888,3.2581,3.80666
2,4.93447,4.74493,4.15888,3.93183,4.43082,4.72739,4.52179,4.40672,4.90527,4.5326,4.7362,5.11199,4.5326,5.05625,5.42935,5.16479,4.77068
2,4.33073,4.40672,4.54329,4.51086,4.44265,4.63473,4.06044,3.63759,4.2485,3.95124,4.11087,4.21951,3.63759,3.7612,4.07754,3.58352,3.21888
2,4.74493,4.35671,4.2485,5.05625,5.15329,5.47227,4.77068,4.65396,4.7185,4.79579,4.84419,5.02388,5.17048,5.3033,5.29832,5.15906,5.22036
4,5.04986,5.20949,4.48864,4.51086,4.56435,5.11799,4.85203,4.57471,5.42495,5.42935,5.58725,5.63479,5.11199,5.2933,5.58725,5.23111,4.99043
4,6.06146,6.31716,5.90808,5.78074,5.70044,5.94803,5.81114,6.18621,5.8999,6.01616,6.42972,5.96615,5.9135,5.86363,6.03069,6.08222,6.1506
4,7.78364,7.57661,8.18004,7.9735,7.99564,7.56372,7.7003,7.84698,7.70391,8.6282,7.85322,7.88721,7.57199,8.35726,7.93236,8.10349,7.93236
2,5.28827,4.82028,4.92725,4.77912,4.41884,4.61512,4.70953,4.93447,5.2575,5.63479,5.70711,5.51745,5.65948,5.35659,5.40717,5.30827,5.54126
1,6.50129,6.65157,7.34536,7.40428,7.30115,6.92854,6.65028,6.47235,6.63857,7.28276,7.1452,7.29641,6.88551,7.1025,6.8638,6.79347,6.72263
4,7.30854,7.2563,7.8694,7.61628,7.62413,7.30586,7.23634,7.73105,7.34987,8.18004,7.67089,7.46623,7.30047,7.80262,7.58121,7.63192,7.49998
4,7.30854,7.2563,7.8694,7.61628,7.62413,7.30586,7.23634,7.73105,7.34987,8.18004,7.67089,7.46623,7.30047,7.80262,7.58121,7.63192,7.49998
4,8.49331,8.32118,8.84347,8.54461,8.79876,8.38617,8.34522,8.74353,8.15622,9.47731,8.70185,8.4145,8.06589,8.91905,8.53739,8.65137,8.63337
4,7.94944,7.99598,8.33159,8.14439,8.27053,7.83003,7.78239,8.26307,7.8755,9.03336,8.22577,8.07683,7.79852,8.50228,8.19616,8.37609,8.25739
4,7.58832,7.42476,7.5689,7.41698,7.73368,7.79359,7.69939,7.84149,7.49554,7.95015,7.13489,7.50659,7.25064,8.05611,7.63046,7.59589,7.47647
1,4.35671,5.50533,4.79579,4.47734,4.74493,5.00395,4.86753,4.68213,5.44242,5.57973,4.92725,5.0876,4.86753,5.01728,4.67283,4.81218,5.37064
1,5.4161,5.37528,6.19032,5.93489,5.73334,5.77144,5.66988,5.45532,5.55296,5.18178,4.58497,5.94017,5.81114,5.66643,5.45104,5.34233,5.45104
2,4.79579,4.04305,4.7185,5.77144,6.54822,6.64379,5.68017,5.20949,4.77068,4.23411,4.90527,4.99721,5.31321,5.12396,5.14749,5.12396,5.26786
1,5.4161,5.84354,6.40688,6.30079,5.99645,5.99894,5.93754,5.82008,5.63835,4.99043,5.86363,5.97126,5.94542,5.75257,5.59842,5.20949,5.51745
4,7.81923,7.63434,8.0901,7.87816,7.80303,7.56424,7.7111,7.72135,7.63143,8.69751,7.61628,7.92226,7.7021,8.14148,7.78406,8.06212,8.23642
4,7.70751,7.60986,8.09071,7.97178,8.25687,7.67601,7.79811,7.87816,7.71646,9.11273,8.22497,8.06809,7.78156,8.20139,7.88269,8.28677,8.22844
2,4.95583,5.10595,5.19296,5.9108,6.67582,6.27852,5.97889,5.70044,5.42935,5.42053,5.48064,5.73657,5.97126,5.82895,5.84354,5.96871,6.12468
4,7.54803,7.42178,7.89692,7.6406,7.91316,7.40974,7.5689,7.46851,7.51207,8.57092,6.96791,7.81035,7.629,7.83201,7.4922,7.96172,8.02093
2,4.78749,3.85015,3.89182,3.93183,3.85015,3.58352,3.7612,4.09434,4.70048,4.43082,4.2485,4.35671,4.33073,4.14313,4.27667,4.2485,4.41884
2,5.76519,5.72359,6.13988,6.94986,7.14045,6.97167,6.54103,6.01127,5.76205,6.38182,6.64639,6.39693,6.44413,6.65929,6.49224,6.41346,6.74641
4,7.82644,7.55329,8.15479,7.82405,7.62413,7.23273,7.2349,7.87093,7.33171,8.48488,7.7021,7.63289,7.51152,8.01961,7.59035,7.86519,7.81359
3,4.48864,5.19296,6.09131,5.65948,5.30827,5.38907,4.91265,4.83628,4.83628,5.76832,6.16331,5.87493,5.62762,5.58725,5.25227,4.96981,4.72739
1,5.68017,6.16331,6.99302,6.59715,5.94017,6.16121,5.95842,5.70711,5.87774,6.00141,6.14847,6.39693,6.25575,6.38856,5.90808,5.9135,5.88332
1,6.03787,5.62402,6.34739,6.33328,6.39693,6.36819,6.38856,6.4552,6.07993,6.1591,6.57228,6.2519,6.48311,6.78672,6.6695,6.32972,6.06379
2,6.03787,5.62402,6.34739,6.33328,6.39693,6.36819,6.38856,6.4552,6.07993,6.1591,6.57228,6.2519,6.48311,6.78672,6.6695,6.32972,6.06379
1,5.23644,5.96615,6.91473,6.7093,6.24222,5.63121,5.34233,5.18739,5.52545,6.37161,6.44095,6.62141,6.26149,5.83188,5.52146,5.26269,5.42053
4,7.68478,7.94662,8.16536,8.05928,8.07589,7.80873,7.81601,8.15565,7.73587,8.80553,8.16451,7.94165,7.68294,8.31752,8.03171,8.23933,7.98276
4,8.0087,7.95332,8.30573,8.16252,8.20549,7.82485,7.88571,8.20849,7.76938,8.92904,8.22013,8.11103,7.735,8.3035,8.01566,8.17216,8.06652
3,4.2485,4.70048,4.17439,4.82831,4.91265,5.1299,5.34233,4.90527,5.04986,4.69135,4.89035,4.36945,4.51086,4.55388,4.18965,4.8828,4.48864
4,7.89618,7.91535,8.23324,7.88156,8.26307,7.64635,7.64108,8.18563,7.8842,9.21024,8.10832,8.19561,7.84385,8.45127,8.13505,8.52734,8.25349
4,8.11193,8.04495,8.34569,8.23244,8.4375,7.95472,7.34859,8.26333,7.82963,9.41042,8.48962,8.3114,7.89395,8.50775,8.28324,8.49923,8.35937
4,8.11193,8.04495,8.34569,8.23244,8.4375,7.95472,7.34859,8.26333,7.82963,9.41042,8.48962,8.3114,7.89395,8.50775,8.28324,8.49923,8.35937
1,4.70953,5.30827,4.93447,5.11799,5.37064,5.0876,4.97673,5.27811,5.34711,5.14749,4.82831,5.20401,5.2575,5.14749,5.18739,5.25227,5.17048
4,7.11639,6.6174,7.51043,6.89061,6.94409,6.59304,6.82979,6.9489,6.86693,7.78489,6.97821,7.09506,7.03351,7.25771,7.05272,7.36708,7.38833
4,8.1778,7.7562,8.52655,8.09377,8.3717,7.8808,8.04141,8.15364,7.85671,9.3259,8.32458,8.29405,7.9505,8.55757,8.30499,8.52556,8.39344
3,4.61512,4.64439,5.54126,5.7301,6.19644,5.94803,5.81711,5.50126,5.2575,4.89784,5.49306,5.64897,5.8861,5.86363,5.84644,5.56068,5.42935
4,6.70073,7.32844,7.4378,7.60986,7.87891,7.66996,7.57353,7.16162,7.37463,7.97453,7.4776,7.36518,7.23418,6.95273,6.74052,7.51915,7.58782
4,6.70073,7.32844,7.4378,7.60986,7.87891,7.66996,7.57353,7.16162,7.37463,7.97453,7.4776,7.36518,7.23418,6.95273,6.74052,7.51915,7.58782
4,7.6406,7.7977,7.90618,7.78821,8.01434,7.41758,7.49776,7.83597,7.57147,8.90748,7.93416,7.93272,7.6516,7.96693,7.70841,8.27078,8.12237
2,3.95124,3.8712,4.41884,4.81218,4.72739,4.95583,4.04305,3.66356,3.55535,3.46574,3.71357,3.68888,4.02535,3.3673,3.80666,3.7612,4.06044
1,5.37528,6.10925,7.01031,6.49677,6.20859,5.7869,5.5835,5.0626,5.26269,6.30079,6.47543,6.41999,6.05444,5.5835,5.57973,5.19296,5.28827
4,7.84815,7.6774,8.08887,7.84698,8.16337,7.60539,7.70706,7.76004,7.67183,9.21989,8.14002,8.03883,7.82604,8.10832,8.0057,8.36497,8.31752
4,7.88345,7.92154,8.14873,8.08148,8.11073,7.60688,7.70075,7.84149,7.75234,8.99838,8.14873,7.99665,7.78322,8.25453,7.87967,8.37586,8.13505
3,4.09434,4.92725,5.50939,5.19296,4.83628,4.80402,4.67283,4.91265,5.11799,5.30827,5.66296,5.49717,5.23111,4.83628,4.96284,4.61512,4.74493
1,5.14749,5.11199,5.93225,5.42495,5.05625,5.20401,4.97673,5.0814,4.99721,5.24175,5.5835,5.3033,5.18739,5.3033,5.09987,4.76217,4.94876
1,5.34233,5.56834,5.44242,4.94164,4.99721,5.10595,5.21494,5.60212,6.03069,6.14204,5.86079,5.49306,5.28827,5.0876,5.18739,5.52943,5.78074
4,5.54518,5.81413,5.32788,5.56068,5.71373,5.61677,5.76205,5.50533,5.83773,5.53733,5.59099,5.67332,5.9108,5.64545,5.52146,5.826,5.93225
4,5.54518,5.81413,5.32788,5.56068,5.71373,5.61677,5.76205,5.50533,5.83773,5.53733,5.59099,5.67332,5.9108,5.64545,5.52146,5.826,5.93225
4,8.02421,8.03787,8.36939,8.08703,8.36381,7.94591,7.95963,7.94307,7.84228,9.28331,8.34806,8.12415,7.8755,8.33038,8.06715,8.48177,8.40447
4,7.83953,7.27379,8.13769,7.55799,7.37963,7.10332,7.38895,7.43308,7.41035,8.39841,7.6029,7.63289,7.54433,7.89767,7.63143,7.8411,7.83597
4,7.11721,7.54115,7.84542,7.65112,7.76811,7.43897,7.41998,7.30988,7.50219,8.6533,7.67647,7.69074,7.56112,7.8755,7.54062,7.99193,7.77233
4,6.9256,6.62672,7.14835,6.4892,6.49224,6.44572,6.61473,6.51471,6.46303,6.38519,6.84801,6.35611,6.64509,6.53524,6.97073,7.02108,7.1624
4,6.24804,6.54535,6.79459,6.55536,6.53233,6.22851,6.44889,6.86066,6.38688,6.94409,6.56808,6.44889,6.34212,6.89163,6.81454,6.76849,6.82329
4,6.72623,6.98472,7.18007,7.28276,6.98657,6.38351,6.55251,6.10256,6.99668,7.96867,6.71417,7.09257,7.40184,7.38088,6.67834,7.70391,7.7021
4,6.72623,6.98472,7.18007,7.28276,6.98657,6.38351,6.55251,6.10256,6.99668,7.96867,6.71417,7.09257,7.40184,7.38088,6.67834,7.70391,7.7021
4,7.76302,7.18387,8.04238,7.45472,7.28961,7.03615,7.47307,7.50879,7.41518,8.43098,7.58426,7.57405,7.49053,7.52779,7.7757,7.96067,7.82923
4,7.76302,7.18387,8.04238,7.45472,7.28961,7.03615,7.47307,7.50879,7.41518,8.43098,7.58426,7.57405,7.49053,7.52779,7.7757,7.96067,7.82923
